City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
551,Trat,TH,80.8,12.5,102.5,สวนหนิง-อัศ
556,Atar,MR,76.39,20.5169,-13.0499,Oumou Elghoura
564,Richards Bay,ZA,75.79,-28.783,32.0377,BON Hotel Waterfront Richards Bay
565,Victor Harbor,AU,75.67,-35.5667,138.6167,McCracken Country Club
572,Acari,PE,76.08,-15.4311,-74.6158,HOSPEDAJE XIMENA
573,Cozumel,MX,78.08,20.5083,-86.9458,Cozumel Palace All Inclusive Resort
581,Kiri Buru,IN,81.45,22.0833,85.35,Lucky India
582,Pangai,TO,86.11,-19.8,-174.35,Ha'apai Beach Resort
583,Ambanja,MG,73.33,-13.6833,48.45,Hotel Salama and Fast Food
585,Kokopo,PG,82.56,-4.352,152.2633,Kokopo Beach Bungalow Resort
589,Oriximina,BR,72.32,-1.7656,-55.8661,Pousada Tia Amélia
591,Codrington,AU,71.65,-38.2667,141.9667,
594,Srandakan,ID,82.6,-7.9386,110.2506,Puri Brata
598,Basco,PH,72.25,20.4487,121.9702,Nathaniel's Lodge
603,Tiarei,PF,84.22,-17.5333,-149.3333,Le Rocher de Tahiti
611,Kota Kinabalu,MY,76.98,5.9749,116.0724,Gaya Centre Hotel
614,Makakilo City,US,77.32,21.3469,-158.0858,Marriott's Ko Olina Beach Club
622,Kieta,PG,82.89,-6.2167,155.6333,Uruna Bay Retreat
630,Lobito,AO,73.36,-12.3481,13.5456,Casa Rosa Hotel Residence
632,Dharmanagar,IN,82.18,24.3667,92.1667,Juri Lodge
637,Kinwat,IN,83.28,19.6333,78.2,Hotel Subhadra Palace
639,Karaton,ID,84.29,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
642,Caravelas,BR,73.51,-17.7125,-39.2481,Pousada dos Navegantes
647,Marawi,PH,81.46,7.9986,124.2928,Haula Hometown
648,Eyl,SO,72.14,7.9803,49.8164,EYL AQUE SYSTEM
649,Kiunga,PG,75.97,-6.1219,141.2906,Airport Lodge Kiunga
650,San Policarpo,PH,81.21,12.1791,125.5072,JM Lodge
651,Chiredzi,ZW,72.93,-21.05,31.6667,Clevers Hotel Chiredzi
652,Oeiras Do Para,BR,72.3,-2.0031,-49.8544,Araticu Soft Hotel
656,Kaeo,NZ,78.33,-35.1,173.7833,Bushido Lodge
657,Nizwa,OM,73.18,22.9333,57.5333,Orient Apartments
660,Hualmay,PE,74.21,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
664,Tabuk,PH,70.77,17.4189,121.4443,Golden Berries Hotel and Convention
666,Camopi,GF,71.08,3.1655,-52.3158,La pousada
671,Puerto Cabezas,NI,74.7,14.0351,-83.3888,Cabaña Caribe
672,Kandrian,PG,85.05,-6.2167,149.55,Kandrian Station
674,Bambanglipuro,ID,82.51,-7.95,110.2833,Puri Brata
675,Moerai,PF,81.79,-22.4333,-151.3333,Le Manotel
677,Muriti,TZ,74.1,-1.9833,32.9167,
681,Belmonte,BR,76.12,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
683,Pochutla,MX,78.82,15.7432,-96.4661,Hotel Posada San Jose
684,Sibolga,ID,85.87,1.7427,98.7792,Hotel Syariah CN Darussalam
686,Alice Town,BS,75.56,25.7167,-79.3,Bimini Big Game Club Resort & Marina
689,Ciudad Bolivar,VE,75.94,8.1222,-63.5497,Hotel Edi
692,Angra Dos Reis,BR,73.98,-23.0067,-44.3181,Mercure Angra dos Reis
